X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH,cost,success,ier,mesg
4501532721496.971,4.596632700000696,10.0668744602536,2.3906831912852453e-10,3.4606828269849795e-11,1444807.09909,True,2,The relative error between two consecutive iterates is at most 0.000000
4777489579928.717,4.459325360326554,10.350928933280937,2.31946846211926e-10,3.0968840449050234e-11,1564503.80481,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4719770976261.559,4.392445946697233,9.360407791730484,2.3302640497499214e-10,3.2783732069915203e-11,1516795.96266,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4028595557107.435,4.867545227041673,13.153786687268749,2.5798189653753074e-10,3.61987042134592e-11,1825958.24998,True,2,The relative error between two consecutive iterates is at most 0.000000
4329283872505.718,4.771412514515772,11.292431778063348,2.4633230966309737e-10,3.332449705240098e-11,1444073.15354,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4823082135433.975,4.039863390489246,11.824134711472285,2.2877032601289618e-10,3.0546247139433266e-11,1459850.89311,True,2,The relative error between two consecutive iterates is at most 0.000000
4865989742655.343,4.249516231953374,9.827386494967152,2.29263801612311e-10,3.471406185852112e-11,1545350.50047,True,2,The relative error between two consecutive iterates is at most 0.000000
4870015191216.505,4.499076323314235,10.46866019002314,2.301457085309222e-10,3.185673571313421e-11,1574209.5624,True,2,The relative error between two consecutive iterates is at most 0.000000
4451087818907.53,4.523842175947625,11.13059565220909,2.412189932903168e-10,3.2076587034820564e-11,1316790.25728,True,2,The relative error between two consecutive iterates is at most 0.000000
4991852530304.468,4.09088915565771,8.733629645878729,2.2526897282273122e-10,2.9204831420424754e-11,1411742.07191,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4513306224241.318,4.5044624289113,10.453719270929485,2.4049300942040554e-10,3.082539533556887e-11,1451884.38266,True,2,The relative error between two consecutive iterates is at most 0.000000
4429694025085.425,4.239768851923483,11.870660025650233,2.4203734095275124e-10,3.121763299203409e-11,1686286.24343,True,2,The relative error between two consecutive iterates is at most 0.000000
4331331865651.2417,4.455563401626373,10.80561576189031,2.4394851082104247e-10,3.4431229160026816e-11,1686371.61409,True,2,The relative error between two consecutive iterates is at most 0.000000
4411265061453.017,4.434140410372553,11.159828063308167,2.4118164676987144e-10,3.198077868933211e-11,1387662.91851,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4700480138529.156,4.508443392184367,10.979319590066124,2.3364205844110473e-10,3.10722020109976e-11,1277209.02252,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4614949423048.506,4.625677757777822,9.347818038882721,2.37665234113728e-10,3.2773119604663345e-11,1517619.52153,True,2,The relative error between two consecutive iterates is at most 0.000000
4419517949694.274,4.580754798491245,10.862006178559618,2.4288349608578896e-10,3.190399413552895e-11,1731029.93087,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4530423661293.637,4.290517785299579,11.05100716321561,2.3636305041846714e-10,3.358849595022789e-11,1571072.16534,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4741210708188.387,4.521529470313294,9.267051481669412,2.3268773542269544e-10,3.5277455837558024e-11,1774919.76064,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000
4559425032039.522,4.564088940406455,9.663720439058547,2.390971367240267e-10,3.2943018001975174e-11,1376956.91087,True,2,The relative error between two consecutive iterates is at most 0.000000
4559892314449.788,4.136396882206782,10.470446339189134,2.3633112852167663e-10,3.2360214743146196e-11,1519195.61593,True,2,The relative error between two consecutive iterates is at most 0.000000
4549087711530.795,4.5947526756739645,10.62178010271824,2.3958940022081986e-10,3.338064018285708e-11,1679357.31885,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4333215741596.9956,4.548996291562816,10.322823724452194,2.460432985443482e-10,3.589589511593009e-11,1520236.93383,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4825793364661.335,4.6721324225191285,9.293183100332776,2.3069074574168978e-10,2.8471601437370737e-11,1813990.04912,True,2,The relative error between two consecutive iterates is at most 0.000000
4451117337006.13,4.536573512312262,10.324358795998092,2.414590762013194e-10,3.1801856346432845e-11,1856927.73633,True,2,The relative error between two consecutive iterates is at most 0.000000
4224530119061.3887,4.707263210189562,10.063876006444673,2.4908211998889165e-10,3.496983776017917e-11,1499002.75388,True,2,The relative error between two consecutive iterates is at most 0.000000
5083475922955.684,3.9047214216199175,11.90502827617882,2.2173889805047091e-10,3.096056688173357e-11,1662257.32531,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4347834306062.7266,4.788723552607655,9.187534645373034,2.457887678823953e-10,3.722976468455064e-11,1452859.8213,True,2,The relative error between two consecutive iterates is at most 0.000000
4733940845430.773,4.598741845609666,10.2197187950106,2.333194703339726e-10,3.337293571418093e-11,1688226.94576,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4344332624549.573,4.236068224092799,11.054003887907054,2.4223102871376164e-10,3.3227979989657116e-11,1439861.06431,True,2,The relative error between two consecutive iterates is at most 0.000000
4863429280544.8,4.030098797816306,9.736914709739116,2.2811917008070319e-10,2.7941177236910715e-11,1434364.84934,True,2,The relative error between two consecutive iterates is at most 0.000000
4436264988198.385,4.271148405846839,12.480530760385003,2.417832567051734e-10,3.825815799840861e-11,1616105.86375,True,2,The relative error between two consecutive iterates is at most 0.000000
4954019344359.526,4.188350440602813,10.158972716000632,2.2623756862020142e-10,3.352222016224213e-11,1522763.86144,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4521700975324.459,4.6008663139277255,10.737659962277416,2.410107576049247e-10,3.2274217030533376e-11,1489055.24011,True,2,The relative error between two consecutive iterates is at most 0.000000
4738551152059.97,4.37781956485016,10.241169026519174,2.326866634945406e-10,3.495060425014588e-11,1316496.9194,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4722083615383.65,4.1171717509242125,9.322543779466555,2.3133779181885333e-10,3.28209125183227e-11,1197879.94119,True,2,The relative error between two consecutive iterates is at most 0.000000
