t-data,H2O2-data,HO2-data,OH-data,t-model,H2O2-model,HO2-model,OH-model
-20.0,6135.0,-3.15,-0.82,-20.0,6040.731958762886,0.0,0.0
-19.8,6162.0,-4.15,0.18,-19.8,6040.731958762886,0.0,0.0
-19.6,6025.0,-3.15,0.18,-19.6,6040.731958762887,0.0,0.0
-19.4,6005.0,-4.15,-0.82,-19.4,6040.731958762886,0.0,0.0
-19.2,6027.0,5.85,-0.82,-19.2,6040.731958762886,0.0,0.0
-19.0,6101.0,6.85,-0.82,-19.0,6040.731958762886,0.0,0.0
-18.8,6033.0,-1.15,1.18,-18.8,6040.731958762886,0.0,0.0
-18.6,6151.0,-1.15,-0.82,-18.6,6040.731958762886,0.0,0.0
-18.4,5979.0,-0.15,1.18,-18.4,6040.731958762887,0.0,0.0
-18.2,6031.0,0.85,-0.82,-18.2,6040.731958762886,0.0,0.0
-18.0,6165.0,0.85,1.18,-18.0,6040.731958762887,0.0,0.0
-17.8,6112.0,-7.15,0.18,-17.8,6040.731958762886,0.0,0.0
-17.6,6110.0,-9.15,-0.82,-17.6,6040.731958762886,0.0,0.0
-17.4,6088.0,2.85,1.18,-17.4,6040.731958762886,0.0,0.0
-17.2,6138.0,-3.15,0.18,-17.2,6040.731958762886,0.0,0.0
-17.0,6028.0,2.85,-0.82,-17.0,6040.7319587628845,0.0,0.0
-16.8,6025.0,8.85,1.18,-16.8,6040.7319587628845,0.0,0.0
-16.6,6075.0,4.85,-0.82,-16.599999999999998,6040.731958762886,0.0,0.0
-16.4,6126.0,2.85,-0.82,-16.4,6040.731958762887,0.0,0.0
-16.2,5912.0,-5.15,0.18,-16.2,6040.731958762887,0.0,0.0
-16.0,6076.0,-1.15,-0.82,-16.0,6040.731958762887,0.0,0.0
-15.8,5952.0,15.85,1.18,-15.799999999999999,6040.731958762887,0.0,0.0
-15.6,5995.0,2.85,2.18,-15.599999999999998,6040.731958762887,0.0,0.0
-15.399999999999999,5880.0,-1.15,-0.82,-15.399999999999999,6040.731958762886,0.0,0.0
-15.2,5934.0,-3.15,-0.82,-15.2,6040.731958762886,0.0,0.0
-15.0,6095.0,-6.15,0.18,-15.0,6040.731958762886,0.0,0.0
-14.8,5985.0,2.85,0.18,-14.799999999999999,6040.731958762886,0.0,0.0
