t,H2O2,HO2,OH
-20.0,525000000000000.0,0.0,0.0
-19.8,525000000000000.0,0.0,0.0
-19.6,525000000000000.1,0.0,0.0
-19.4,525000000000000.0,0.0,0.0
-19.2,525000000000000.0,0.0,0.0
-19.0,525000000000000.0,0.0,0.0
-18.8,525000000000000.0,0.0,0.0
-18.6,525000000000000.0,0.0,0.0
-18.4,525000000000000.1,0.0,0.0
-18.2,525000000000000.0,0.0,0.0
-18.0,525000000000000.1,0.0,0.0
-17.8,525000000000000.0,0.0,0.0
-17.6,525000000000000.0,0.0,0.0
-17.4,525000000000000.0,0.0,0.0
-17.2,525000000000000.0,0.0,0.0
-17.0,524999999999999.9,0.0,0.0
-16.8,524999999999999.9,0.0,0.0
-16.6,525000000000000.0,0.0,0.0
-16.4,525000000000000.1,0.0,0.0
-16.2,525000000000000.1,0.0,0.0
-16.0,525000000000000.1,0.0,0.0
-15.8,525000000000000.1,0.0,0.0
-15.600000000000001,525000000000000.1,0.0,0.0
-15.4,525000000000000.0,0.0,0.0
-15.2,525000000000000.0,0.0,0.0
-15.0,525000000000000.0,0.0,0.0
-14.8,525000000000000.0,0.0,0.0
-14.600000000000001,525000000000000.0,0.0,0.0
-14.4,525000000000000.0,0.0,0.0
-14.2,525000000000000.0,0.0,0.0
-14.0,524999999999999.9,0.0,0.0
-13.8,525000000000000.0,0.0,0.0
-13.600000000000001,525000000000000.0,0.0,0.0
-13.4,524999999999999.9,0.0,0.0
-13.2,524999999999999.9,0.0,0.0
-13.0,524999999999999.9,0.0,0.0
-12.8,525000000000000.0,0.0,0.0
-12.600000000000001,525000000000000.0,0.0,0.0
-12.4,525000000000000.0,0.0,0.0
-12.200000000000001,525000000000000.1,0.0,0.0
-12.0,525000000000000.1,0.0,0.0
-11.8,525000000000000.1,0.0,0.0
-11.600000000000001,525000000000000.1,0.0,0.0
-11.4,525000000000000.1,0.0,0.0
-11.200000000000001,525000000000000.1,0.0,0.0
-11.0,525000000000000.1,0.0,0.0
-10.8,525000000000000.1,0.0,0.0
-10.600000000000001,525000000000000.1,0.0,0.0
-10.4,525000000000000.1,0.0,0.0
-10.200000000000001,525000000000000.0,0.0,0.0
-10.0,525000000000000.0,0.0,0.0
-9.8,525000000000000.0,0.0,0.0
-9.600000000000001,525000000000000.1,0.0,0.0
-9.4,525000000000000.0,0.0,0.0
-9.200000000000001,525000000000000.0,0.0,0.0
-9.000000000000002,524999999999999.9,0.0,0.0
