k1,k2,k3,cost,success,ier,mesg,X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH
1.5866034536744832e-12,1.0227115893615872e-10,1.3583843795744387e-12,1526967.84709,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4612255941039.436,5.099618983515956,9.367669587288011,2.4029842544531563e-10,3.0457792823072926e-11
1.956030121065704e-12,1.1127409182260099e-10,1.689605961619108e-12,1555529.86708,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4376156293188.4023,3.8074613652098264,10.91240700835888,2.4172923587131913e-10,3.59474327133949e-11
1.85056010843742e-12,1.3277234452047122e-10,1.320997482389894e-12,1548644.78705,True,2,The relative error between two consecutive iterates is at most 0.000000,4669062568069.309,5.015276313350166,10.30444830216176,2.446759284591412e-10,3.317540054851377e-11
1.3988070966565252e-12,1.0147717782226764e-10,1.770870780962608e-12,1525334.86846,True,2,The relative error between two consecutive iterates is at most 0.000000,4744434629860.595,3.593846271485764,8.451172489230649,2.4826249219367415e-10,2.7607288300002376e-11
1.5356704630030887e-12,8.882361028388472e-11,1.6503380843220809e-12,1525509.02018,True,2,The relative error between two consecutive iterates is at most 0.000000,4691895506425.528,3.7291019462302586,12.201770417694906,2.3256140130651446e-10,2.921374296032303e-11
2.16128431140353e-12,1.0024552616928351e-10,1.5296941082097014e-12,1558631.90892,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4416741256469.041,4.025531564083098,10.157923171945905,2.2608383801214042e-10,3.725268061474883e-11
2.199699030481099e-12,1.0121014721258032e-10,1.8496861557881214e-12,1578517.27257,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4261318195516.568,3.0281278167224266,12.139976650781612,2.345694524753546e-10,3.892842538710269e-11
1.762222019076403e-12,1.19190881070869e-10,1.4375143083888421e-12,1537892.95254,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4640366854524.035,4.7363714013587055,9.322517846477806,2.429343543733072e-10,3.205619716342038e-11
1.774104640006797e-12,1.0374876913444332e-10,1.6724361533964398e-12,1541617.47938,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4436371970851.974,4.074430071656177,10.300906282586999,2.4233997712554114e-10,3.347721677331777e-11
2.1164852044976937e-12,7.948395496312375e-11,1.367555069453211e-12,1544341.06472,True,2,The relative error between two consecutive iterates is at most 0.000000,4399322303767.579,4.604925853724566,10.096548462922776,2.1558031725127758e-10,3.6612259071968354e-11
1.718422239875689e-12,1.284154775630065e-10,1.551758514941176e-12,1539536.87634,True,2,The relative error between two consecutive iterates is at most 0.000000,4699059905489.326,4.326878215452004,9.074990630062088,2.4942187136605426e-10,3.1638128320909364e-11
1.7235925576361164e-12,1.2879054777822924e-10,1.2464665936677104e-12,1536938.38447,True,2,The relative error between two consecutive iterates is at most 0.000000,4546036244511.456,5.886055964269902,7.395806872195727,2.536874736898463e-10,3.268728181026842e-11
1.4399950115212962e-12,8.901683423244288e-11,1.0994255550573947e-12,1522221.927,True,2,The relative error between two consecutive iterates is at most 0.000000,4746999344013.137,6.57219383623805,8.383670044007653,2.337923376984097e-10,2.7825668790036018e-11
1.6027756015161545e-12,1.2422110905257526e-10,1.6401352997357675e-12,1539250.27035,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4532450650043.17,3.9329546742059716,10.81593986230736,2.5769895501172906e-10,3.162477275465297e-11
1.859747932906163e-12,1.1257062220421063e-10,1.2618509430276286e-12,1550454.58578,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4682814264096.387,4.70341327133508,8.598822495299299,2.29227127125325e-10,3.2911111754178855e-11
1.7385010757680547e-12,1.3217229078205877e-10,1.560220345176099e-12,1542673.72559,True,2,The relative error between two consecutive iterates is at most 0.000000,4643257104200.797,4.263566750417095,9.932324950189379,2.5222929336564877e-10,3.226565430531633e-11
1.7144381073283927e-12,9.946935154714077e-11,1.351439487031913e-12,1534813.61213,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4572271842263.29,4.68135269088471,7.794002655360247,2.3220831345357407e-10,3.201053249297745e-11
2.039412305973179e-12,1.0015081033755549e-10,1.4383699261308646e-12,1550860.4334,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4365576061155.5425,4.679867242247823,14.068312882019748,2.318987277294143e-10,3.67106704349016e-11
2.0164851407177884e-12,1.5557923636538718e-10,1.4854713067297178e-12,1571965.53057,True,2,The relative error between two consecutive iterates is at most 0.000000,4555120034802.468,4.329284010491105,10.499328950748938,2.542364952687714e-10,3.580683224498994e-11
1.603248424893504e-12,7.241595285806163e-11,1.5600973580682978e-12,1524945.44201,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4642756644741.649,3.9405557614081874,9.063060275037092,2.1889705699919002e-10,2.980974294315552e-11
1.5103048597203837e-12,1.077027589954688e-10,1.377231615555388e-12,1525762.05775,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4808965650041.315,4.9996321309339375,8.68946888952011,2.4179602751445546e-10,2.8557393107068055e-11
1.977813294116713e-12,1.032324541205773e-10,1.5667583264019887e-12,1552256.85478,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4336987571521.5024,4.340434954247193,11.934432824217765,2.3757840928586796e-10,3.6315231323999515e-11
1.4241834382090914e-12,1.2186874637889466e-10,1.4644266155451476e-12,1525069.86872,True,2,The relative error between two consecutive iterates is at most 0.000000,4796202845405.479,4.948448560603322,8.613874542094413,2.5921098228679964e-10,2.8090037099243788e-11
1.9160880336633043e-12,1.0964429774074849e-10,1.3375185898661973e-12,1542592.15729,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4496212090274.398,5.218444152925547,9.635268091034774,2.358492044634556e-10,3.463818977758177e-11
1.5597099982970322e-12,1.2895700323711062e-10,1.5861529670915214e-12,1540914.13682,True,2,The relative error between two consecutive iterates is at most 0.000000,4776412956196.919,3.7338936635883035,12.157310271939306,2.536876274484679e-10,2.970824274108007e-11
2.179868823901e-12,1.2446456592764118e-10,1.2478286933093112e-12,1865603.01329,True,2,The relative error between two consecutive iterates is at most 0.000000,3166774033853.5977,4.471513570063104,14.60548824708165,2.860665873144815e-10,5.2538929952051645e-11
1.265982101308928e-12,1.2758098012219457e-10,1.3839833949715142e-12,1521178.38565,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4842823237706.041,5.858808569550501,8.66910901518529,2.7667070937784437e-10,2.61158211144379e-11
1.8049710129561688e-12,8.088706585517238e-11,1.4562602589419816e-12,1530403.97807,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4482840838075.522,4.509149710555128,11.497772843912351,2.231424193988871e-10,3.3110743358828984e-11
1.9021465907212598e-12,1.205037200790045e-10,1.5491759723461142e-12,1554897.47328,True,2,The relative error between two consecutive iterates is at most 0.000000,4449970415117.005,4.852472882739846,12.433744393037625,2.481207799976572e-10,3.5046345064832485e-11
1.9949876867787603e-12,1.2451217463517968e-10,1.2699107008087041e-12,2062186.39337,True,2,The relative error between two consecutive iterates is at most 0.000000,2844730464829.7866,4.102350813754411,15.086911777273793,3.110832006845205e-10,5.572930324184286e-11
1.5679772322447525e-12,1.0853626835303118e-10,1.7508444261045848e-12,1537895.78606,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4495348384323.759,4.284483473972161,11.684555041242076,2.5532344916774987e-10,3.1192064599666634e-11
1.934416175622321e-12,1.0222806251195818e-10,1.5963112551520428e-12,1545209.43025,True,2,The relative error between two consecutive iterates is at most 0.000000,4520124066165.268,3.890733754838791,9.770357976480934,2.3101980598277815e-10,3.445008435295488e-11
1.8069095845832289e-12,1.2497521901361516e-10,1.400960211928778e-12,1544903.37356,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4728403525666.274,4.523355906295664,10.496061225848008,2.3984192054801e-10,3.2228895874914753e-11
1.5481747945634736e-12,8.67629609901265e-11,1.469370266805387e-12,1530858.72571,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4780494243319.263,3.9041350233729015,10.390464064918007,2.2420332717934992e-10,2.8964391177266522e-11
1.4480982641667864e-12,8.672690024587883e-11,1.1910362498103733e-12,1526173.19547,True,2,The relative error between two consecutive iterates is at most 0.000000,4735887661614.009,5.755995619044024,9.64039295358288,2.3050730400984927e-10,2.799781870959033e-11
1.9826981278097534e-12,1.203787664980363e-10,1.255833448424519e-12,1567093.56278,True,2,The relative error between two consecutive iterates is at most 0.000000,4722008982869.212,4.437048885200192,10.931480809802268,2.2702815766755518e-10,3.3704503751557776e-11
1.5565208436291876e-12,8.834674072761604e-11,1.6579446565366023e-12,1527434.41175,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4596260213159.838,4.0282695404296875,9.437819640053812,2.356300010338463e-10,2.994935489535323e-11
2.3006145950912623e-12,1.340708889627154e-10,1.3610013359245704e-12,1936703.80514,True,2,The relative error between two consecutive iterates is at most 0.000000,2979466043910.96,4.115655465592661,15.201464386290548,3.005571218279186e-10,5.677609104749314e-11
1.5190134604048028e-12,1.1129100253838439e-10,1.432733908228879e-12,1526975.12475,True,2,The relative error between two consecutive iterates is at most 0.000000,4822132626279.64,4.735242425876801,9.111224574713404,2.4376021150434943e-10,2.866879229252673e-11
